City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,haines junction,60.7522,-137.5108,-12.03,85,100,0.51,CA,1675623224
167,kindu,-2.95,25.95,23.98,69,100,1.0,CD,1675623225
168,gonbad-e qabus,37.25,55.1672,8.53,37,0,1.17,IR,1675623225
169,christchurch,-43.5333,172.6333,21.29,47,0,3.09,NZ,1675622673
170,singaraja,-8.112,115.0882,26.24,80,100,3.19,ID,1675623226
171,doboj,44.7347,18.0878,-1.67,60,77,1.72,BA,1675623226
172,katsuura,35.1333,140.3,8.61,82,0,2.89,JP,1675623227
173,aneho,6.2333,1.6,29.11,82,100,6.52,TG,1675623227
174,shirvan,39.9509,48.8994,7.42,84,39,2.67,AZ,1675623227
175,omboue,-1.5746,9.2618,26.04,83,100,2.57,GA,1675623228
176,thompson,55.7435,-97.8558,-16.91,78,75,1.54,CA,1675623228
177,bar harbor,44.3876,-68.2039,3.39,68,0,4.12,US,1675623229
178,clyde river,70.4692,-68.5914,-25.87,64,100,5.66,CA,1675623229
179,nouadhibou,20.931,-17.0347,21.99,33,100,7.2,MR,1675623076
180,cabedelo,-6.9811,-34.8339,31.37,70,11,5.33,BR,1675623230
181,unai,-16.3575,-46.9061,28.56,63,100,1.0,BR,1675623230
182,seymchan,62.8833,152.4333,-33.16,93,88,1.57,RU,1675623231
183,kiruna,67.8557,20.2251,-4.49,74,0,3.09,SE,1675623231
184,nanakuli,21.3906,-158.1547,24.14,64,75,1.54,US,1675623232
185,mahebourg,-20.4081,57.7,26.81,89,20,1.54,MU,1675623232
186,codrington,-38.2667,141.9667,13.13,86,35,2.71,AU,1675623232
187,namibe,-15.1961,12.1522,22.41,77,36,2.95,AO,1675623233
188,vila franca do campo,37.7167,-25.4333,16.23,86,26,2.7,PT,1675623233
189,mafinga,-7.25,35.0667,19.82,89,100,1.86,TZ,1675623234
190,tyup,42.7276,78.3648,-6.17,69,100,2.47,KG,1675623234
191,mgandu,-5.95,34.1333,16.75,87,100,1.9,TZ,1675623235
192,kahului,20.8947,-156.47,24.91,85,40,6.26,US,1675623235
193,biltine,14.5333,20.9167,25.82,9,100,2.88,TD,1675623235
194,souillac,-20.5167,57.5167,26.21,89,20,1.54,MU,1675623099
195,robertsport,6.7533,-11.3686,26.68,85,100,5.53,LR,1675623236
196,fortuna,40.5982,-124.1573,9.25,95,100,1.54,US,1675623172
197,terebovlya,49.3019,25.71,-5.62,92,100,5.39,UA,1675623236
198,nanortalik,60.1432,-45.2371,-4.93,91,100,5.27,GL,1675623237
199,taltal,-25.4,-70.4833,23.15,72,24,2.99,CL,1675623238
200,la asuncion,11.0333,-63.8628,26.02,75,92,8.32,VE,1675623238
201,egvekinot,66.3167,-179.1667,-29.83,87,100,5.03,RU,1675623239
202,lavrentiya,65.5833,-171.0,-19.76,96,100,4.09,RU,1675623239
203,jiazi,22.8779,116.067,16.45,91,100,5.24,CN,1675623239
204,saint george,37.1041,-113.5841,13.57,40,20,1.79,US,1675623124
205,camapua,-19.5314,-54.0439,28.72,66,98,2.71,BR,1675623076
206,payo,-3.7508,103.6372,20.84,78,100,0.74,ID,1675623240
207,camacupa,-12.0167,17.4833,16.23,89,100,1.2,AO,1675623242
208,sao joao da barra,-21.6403,-41.0511,33.05,81,18,6.23,BR,1675622688
